Sample	origin	acclimation tank	source colony	origin-acclimation	Growth
HV-1	HV	stable	1	HV-stable	9.25
HV-1	HV	stable	1	HV-stable	10
HV-1	HV	stable	1	HV-stable	7.75
HV-1	HV	stable	1	HV-stable	8
HV-1	HV	stable	1	HV-stable	9.25
HV-1	HV	stable	1	HV-stable	9
HV-1	HV	stable	1	HV-stable	9.25
HV-1	HV	stable	1	HV-stable	10.75
HV-1	HV	stable	1	HV-stable	4.25
HV-1	HV	stable	1	HV-stable	9.25
HV-1	HV	stable	1	HV-stable	9.5
HV-1	HV	stable	1	HV-stable	8.5
HV-1	HV	stable	1	HV-stable	10
HV-1	HV	stable	1	HV-stable	12.75
HV-1	HV	stable	1	HV-stable	9
HV-2	HV	stable	2	HV-stable	9
HV-2	HV	stable	2	HV-stable	7.25
HV-2	HV	stable	2	HV-stable	8
HV-2	HV	stable	2	HV-stable	7.5
HV-2	HV	stable	2	HV-stable	7
HV-2	HV	stable	2	HV-stable	7
HV-2	HV	stable	2	HV-stable	9.25
HV-2	HV	stable	2	HV-stable	9.75
HV-2	HV	stable	2	HV-stable	7.25
HV-2	HV	stable	2	HV-stable	9.25
HV-2	HV	stable	2	HV-stable	8.25
HV-2	HV	stable	2	HV-stable	9.25
HV-2	HV	stable	2	HV-stable	6.75
HV-2	HV	stable	2	HV-stable	8
HV-2	HV	stable	2	HV-stable	8.25
HV-3	HV	stable	3	HV-stable	12.5
HV-3	HV	stable	3	HV-stable	15.25
HV-3	HV	stable	3	HV-stable	8.75
HV-3	HV	stable	3	HV-stable	13.25
HV-3	HV	stable	3	HV-stable	9.5
HV-3	HV	stable	3	HV-stable	12.5
HV-3	HV	stable	3	HV-stable	11.75
HV-3	HV	stable	3	HV-stable	10.25
HV-3	HV	stable	3	HV-stable	7.25
HV-3	HV	stable	3	HV-stable	11
HV-3	HV	stable	3	HV-stable	9.5
HV-3	HV	stable	3	HV-stable	11.5
HV-3	HV	stable	3	HV-stable	11.5
HV-4	HV	stable	4	HV-stable	15.25
HV-4	HV	stable	4	HV-stable	12.25
HV-4	HV	stable	4	HV-stable	14.5
HV-4	HV	stable	4	HV-stable	18.25
HV-4	HV	stable	4	HV-stable	13.75
HV-4	HV	stable	4	HV-stable	12.75
HV-4	HV	stable	4	HV-stable	14.5
HV-4	HV	stable	4	HV-stable	11.5
HV-4	HV	stable	4	HV-stable	14.5
HV-4	HV	stable	4	HV-stable	12.75
HV-4	HV	stable	4	HV-stable	17.75
HV-4	HV	stable	4	HV-stable	13.75
HV-4	HV	stable	4	HV-stable	10.5
HV-4	HV	stable	4	HV-stable	12.5
HV-4	HV	stable	4	HV-stable	14
HV-5	HV	stable	5	HV-stable	10.75
HV-5	HV	stable	5	HV-stable	10
HV-5	HV	stable	5	HV-stable	12
HV-5	HV	stable	5	HV-stable	15.25
HV-5	HV	stable	5	HV-stable	10.25
HV-5	HV	stable	5	HV-stable	15
HV-5	HV	stable	5	HV-stable	10.5
HV-5	HV	stable	5	HV-stable	12.25
HV-5	HV	stable	5	HV-stable	12.5
HV-5	HV	stable	5	HV-stable	11
HV-5	HV	stable	5	HV-stable	11
