Sample	Compartment	SourceColony	AcclimationTank	Origin	Group	Day	Hsp70	Ubiquitin
HVZW-1-FBS	Zoox	1	field	HV	HV_field	FBS	1.311561186	10.99985704
HVZW-2-FBS	Zoox	2	field	HV	HV_field	FBS	0.820831889	3.714520276
HVZW-3-FBS	Zoox	3	field	HV	HV_field	FBS	1.776942205	2.37578612
HVZW-4-FBS	Zoox	4	field	HV	HV_field	FBS	0.593246954	3.565412344
HVZW-5-FBS	Zoox	5	field	HV	HV_field	FBS	0.922323012	2.442640029
MVZW-1-FBS	Zoox	6	field	MV	MV_field	FBS	0.482359889	2.425293341
MVZW-2-FBS	Zoox	7	field	MV	MV_field	FBS	1.131152244	2.019037543
MVZW-3-FBS	Zoox	8	field	MV	MV_field	FBS	1.968791889	6.917792138
MVZW-4-FBS	Zoox	9	field	MV	MV_field	FBS	2.139137723	4.620790539
MVZW-5-FBS	Zoox	10	field	MV	MV_field	FBS	0.968307052	4.597181424
forereefZW-1-FBS	Zoox	11	field	forereef	forereef_field	FBS	0.289375873	1.463930109
forereefZW-2-FBS	Zoox	12	field	forereef	forereef_field	FBS	0.185025845	0.51594948
forereefZW-3-FBS	Zoox	13	field	forereef	forereef_field	FBS	0.581246944	0.087269459
forereefZW-4-FBS	Zoox	14	field	forereef	forereef_field	FBS	0.459593642	0.085412283
forereefZW-5-FBS	Zoox	15	field	forereef	forereef_field	FBS	0.405257158	0.092811002
HVZW-1A-BS	Zoox	1	stable	HV	HV_stable	BS	1.000101311	13.39434489
HVZW-2A-BS	Zoox	2	stable	HV	HV_stable	BS	0.636453531	1.761236119
HVZW-3A-BS	Zoox	3	stable	HV	HV_stable	BS	0.723190815	0.057659378
HVZW-4A-BS	Zoox	4	stable	HV	HV_stable	BS	0.784400855	3.023468202
HVZW-5A-BS	Zoox	5	stable	HV	HV_stable	BS	0.964848086	4.129461349
MVZW-1A-BS	Zoox	6	stable	MV	MV_stable	BS	0.512661671	3.6462017
MVZW-2A-BS	Zoox	7	stable	MV	MV_stable	BS	1.483624563	1.090280313
MVZW-3A-BS	Zoox	8	stable	MV	MV_stable	BS	0.835416859	9.234056542
MVZW-4A-BS	Zoox	9	stable	MV	MV_stable	BS	0.987018477	5.998457797
MVZW-5A-BS	Zoox	10	stable	MV	MV_stable	BS	0.684402108	5.565056329
forereefZW-1A-BS	Zoox	11	stable	forereef	forereef_stable	BS	1.019859619	1.987793607
forereefZW-2A-BS	Zoox	12	stable	forereef	forereef_stable	BS	0.985542187	2.036660523
forereefZW-4A-BS	Zoox	14	stable	forereef	forereef_stable	BS	0.950407827	2.111671186
forereefZW-5A-BS	Zoox	15	stable	forereef	forereef_stable	BS	0.946163601	2.296556828
HVZW-1B-BS0	Zoox	1	variable	HV	HV_variable	BS	0.786548217	15.57402238
HVZW-2B-BS0	Zoox	2	variable	HV	HV_variable	BS	0.748549511	3.091334056
HVZW-3B-BS0	Zoox	3	variable	HV	HV_variable	BS	0.97288835	4.561981599
HVZW-4B-BS0	Zoox	4	variable	HV	HV_variable	BS	0.0188	4.016083241
HVZW-5B-BS0	Zoox	5	variable	HV	HV_variable	BS	0.902792546	2.220014304
MVZW-1B-BS0	Zoox	6	variable	MV	MV_variable	BS	0.0419	3.222028217
MVZW-2B-BS0	Zoox	7	variable	MV	MV_variable	BS	0.015	2.227310379
MVZW-3B-BS0	Zoox	8	variable	MV	MV_variable	BS	0.093	2.486417797
MVZW-4B-BS0	Zoox	9	variable	MV	MV_variable	BS	0.088444109	5.386723723
MVZW-5B-BS0	Zoox	10	variable	MV	MV_variable	BS	0.127968955	6.103939472
forereefZW-1B-BS0	Zoox	11	variable	forereef	forereef_variable	BS	0.015715754	1.791311769
forereefZW-2B-BS0	Zoox	12	variable	forereef	forereef_variable	BS	0.014004009	2.275236016
forereefZW-3B-BS0	Zoox	13	variable	forereef	forereef_variable	BS	0.036773465	1.462723736
forereefZW-4B-BS0	Zoox	14	variable	forereef	forereef_variable	BS	0.030857984	0.382982696
forereefZW-5B-BS0	Zoox	15	variable	forereef	forereef_variable	BS	0.203343615	1.393709827
HVZW-1B-BS0	Zoox	1	variable	HV	HV_variable	D0	0.786548217	15.57402238
HVZW-2B-BS0	Zoox	2	variable	HV	HV_variable	D0	0.748549511	3.091334056
HVZW-3B-BS0	Zoox	3	variable	HV	HV_variable	D0	0.97288835	4.561981599
HVZW-4B-BS0	Zoox	4	variable	HV	HV_variable	D0	0.0188	4.016083241
HVZW-5B-BS0	Zoox	5	variable	HV	HV_variable	D0	0.902792546	2.220014304
MVZW-1B-BS0	Zoox	6	variable	MV	MV_variable	D0	0.0419	3.222028217
MVZW-2B-BS0	Zoox	7	variable	MV	MV_variable	D0	0.015	2.227310379
MVZW-3B-BS0	Zoox	8	variable	MV	MV_variable	D0	0.093	2.486417797
MVZW-4B-BS0	Zoox	9	variable	MV	MV_variable	D0	0.088444109	5.386723723
MVZW-5B-BS0	Zoox	10	variable	MV	MV_variable	D0	0.127968955	6.103939472
forereefZW-1B-BS0	Zoox	11	variable	forereef	forereef_variable	D0	0.015715754	1.791311769
forereefZW-2B-BS0	Zoox	12	variable	forereef	forereef_variable	D0	0.014004009	2.275236016
forereefZW-3B-BS0	Zoox	13	variable	forereef	forereef_variable	D0	0.036773465	1.462723736
forereefZW-4B-BS0	Zoox	14	variable	forereef	forereef_variable	D0	0.030857984	0.382982696
forereefZW-5B-BS0	Zoox	15	variable	forereef	forereef_variable	D0	0.203343615	1.393709827
HVZW-1A-D0	Zoox	1	stable	HV	HV_stable	D0	0.009986824	8.030681452
HVZW-2A-D0	Zoox	2	stable	HV	HV_stable	D0	0.030910058	1.45155994
HVZW-3A-D0	Zoox	3	stable	HV	HV_stable	D0	0.019630401	1.90094255
HVZW-4A-D0	Zoox	4	stable	HV	HV_stable	D0	0.021789577	3.422404855
HVZW-5A-D0	Zoox	5	stable	HV	HV_stable	D0	0.015945406	0.911065826
MVZW-1A-D0	Zoox	6	stable	MV	MV_stable	D0	0.025811029	1.514999578
MVZW-2A-D0	Zoox	7	stable	MV	MV_stable	D0	0.493401803	1.533012419
MVZW-3A-D0	Zoox	8	stable	MV	MV_stable	D0	0.589890502	9.694737653
MVZW-4A-D0	Zoox	9	stable	MV	MV_stable	D0	0.295080571	11.48783452
MVZW-5A-D0	Zoox	10	stable	MV	MV_stable	D0	0.370462764	10.38332381
forereefZW-1A-D0	Zoox	11	stable	forereef	forereef_stable	D0	0.150779691	2.090881844
forereefZW-2A-D0	Zoox	12	stable	forereef	forereef_stable	D0	0.122117204	0.765156927
forereefZW-4A-D0	Zoox	14	stable	forereef	forereef_stable	D0	0.455691371	0.69667222
forereefZW-5A-D0	Zoox	15	stable	forereef	forereef_stable	D0	0.440897495	1.711015289
HVZW-1A-D1	Zoox	1	stable	HV	HV_stable	D1	0.034889267	10.86358697
HVZW-2A-D1	Zoox	2	stable	HV	HV_stable	D1	0.02232506	1.406617537
HVZW-3A-D1	Zoox	3	stable	HV	HV_stable	D1	0.006069368	2.681928906
HVZW-4A-D1	Zoox	4	stable	HV	HV_stable	D1	0.015462815	1.658398133
HVZW-5A-D1	Zoox	5	stable	HV	HV_stable	D1	0.020356127	0.664184519
MVZW-1A-D1	Zoox	6	stable	MV	MV_stable	D1	0.599739975	2.62434243
MVZW-2A-D1	Zoox	7	stable	MV	MV_stable	D1	1.049861177	1.827152101
MVZW-3A-D1	Zoox	8	stable	MV	MV_stable	D1	3.033153373	6.399400692
MVZW-4A-D1	Zoox	9	stable	MV	MV_stable	D1	1.497307458	5.333745921
MVZW-5A-D1	Zoox	10	stable	MV	MV_stable	D1	0.944939139	4.535517826
forereefZW-1A-D1	Zoox	11	stable	forereef	forereef_stable	D1	0.250719966	2.335105917
forereefZW-2A-D1	Zoox	12	stable	forereef	forereef_stable	D1	0.616843714	1.638230452
forereefZW-4A-D1	Zoox	14	stable	forereef	forereef_stable	D1	0.986831418	0.954475299
